Cluster_Name,Recency,Frequency,Monetary,avg_review_score,avg_delivery_days
At-Risk,387.4085167617119,1.0,133.4577602195811,4.17557160368811,12.483318232692
High-Value,239.3978494623656,1.0128205128205128,1160.9063440860216,3.997311827956989,14.160049627791564
Loyal,220.44372294372295,2.1143578643578644,289.6802525252525,4.207834295334296,11.864325225039511
New,128.0743651514553,1.0,134.36003040954148,4.1519687216144705,11.73537774969393
