Feature,Importance
avg_review_score,0.22006706051025796
avg_installments,0.17104995640521614
avg_order_value,0.13446527185491142
avg_delivery_delay,0.13226156374654927
avg_delivery_days,0.12824972768072038
avg_freight,0.11017915999509281
Recency,0.10372725980725209
